ID,total_price,tip
0,27,.20
1,45,.20
2,32,.20
3,36,.18
4,25,.18
5,33,.18
6,24,.18
7,16,.20
8,36,.18
9,28,.15
10,31,.20
11,33,.25
12,25,.20
13,42,.18
14,15,.15
15,13,.18
16,33,.18
17,21,.18
18,30,.15
19,30,.15
20,39,.18
21,50,.20
22,51,.25
23,18,.15
24,30,.20
25,44,.18
26,24,.18
27,42,.25
28,27,.18
29,24,.15
30,18,.18
31,43,.18
32,26,.18
33,37,.25
34,46,.15
35,9,.18
36,35,.20
37,30,.18
38,24,.20
39,56,.25
40,18,.18
41,32,.15
42,34,.15
43,16,.18
44,18,.15
45,15,.15
46,45,.18
47,18,.18
48,24,.20
49,34,.18
50,24,.20
51,40,.18
52,50,.18
53,30,.20
54,30,.18
55,15,.25
56,40,.15
57,27,.18
58,18,.18
59,18,.25
60,45,.15
61,20,.18
62,47,.15
63,14,.15
64,30,.18
65,20,.18
66,36,.18
67,44,.20
68,30,.15
69,33,.18
70,21,.25
71,36,.18
72,24,.20
73,30,.18
74,22,.20
75,39,.20
76,78,.25
77,49,.15
78,31,.20
79,30,.18
80,32,.25
81,27,.25
82,33,.18
83,51,.25
84,47,.20
85,32,.15
86,34,.18
87,36,.15
88,9,.15
89,15,.15
90,24,.20
91,36,.15
92,43,.20
93,48,.15
94,15,.25
95,27,.20
96,45,.15
97,32,.20
98,16,.15
99,48,.15
100,47,.18
101,30,.18
102,6,.20
103,33,.15
104,29,.20
105,30,.20
106,21,.15
107,26,.18
108,30,.15
109,12,.20
110,57,.15
111,21,.18
112,37,.25
113,12,.20
114,33,.25
115,24,.15
116,39,.25
117,49,.15
118,30,.25
119,25,.15
120,31,.20
121,12,.25
122,21,.20
123,24,.15
124,53,.20
125,63,.25
126,21,.18
127,35,.18
128,28,.25
129,44,.15
130,23,.15
131,52,.15
132,9,.18
133,26,.15
134,36,.20
135,45,.18
136,35,.18
137,30,.25
138,31,.20
139,42,.25
140,39,.20
141,18,.18
142,18,.25
143,27,.15
144,24,.18
145,38,.20
146,54,.25
147,25,.25
148,27,.20
149,40,.25
150,32,.15
151,45,.25
152,41,.20
153,21,.15
154,54,.25
155,29,.18
156,42,.18
157,12,.18
158,9,.20
159,56,.25
160,14,.20
161,27,.20
162,36,.18
163,27,.15
164,18,.15
165,33,.15
166,30,.18
167,25,.25
168,48,.20
169,24,.25
170,44,.15
171,18,.25
172,24,.18
173,49,.15
174,33,.15
175,22,.18
176,30,.20
177,26,.25
178,53,.25
179,27,.15
180,23,.15
181,24,.15
182,34,.20
183,36,.25
184,34,.18
185,18,.18
186,15,.18
187,39,.20
188,27,.18
189,50,.25
190,45,.15
191,21,.18
192,30,.18
193,33,.25
194,33,.15
195,22,.15
196,32,.15
197,45,.18
198,44,.25
199,28,.20
200,26,.20
201,18,.20
202,18,.25
203,30,.18
204,35,.18
205,19,.15
206,36,.15
207,59,.25
208,22,.20
209,48,.25
210,48,.20
211,35,.25
212,29,.25
213,30,.25
214,26,.25
215,18,.25
216,42,.18
217,53,.18
218,18,.18
219,30,.18
220,28,.15
221,23,.25
222,15,.15
223,24,.20
224,27,.25
225,22,.15
226,17,.25
227,21,.25
228,39,.25
229,24,.15
230,19,.20
231,60,.18
232,42,.25
233,42,.15
234,24,.15
235,27,.20
236,25,.18
237,36,.15
238,50,.20
239,29,.20
240,14,.18
241,34,.18
242,30,.15
243,26,.18
244,18,.15
245,15,.15
246,51,.18
247,12,.18
248,42,.25
249,50,.25
250,42,.15
251,32,.18
252,21,.25
253,32,.15
254,50,.25
255,38,.20
256,9,.25
257,21,.25
258,41,.20
259,27,.18
260,42,.18
261,33,.18
262,27,.25
263,16,.15
264,12,.25
265,39,.25
266,31,.15
267,30,.25
268,36,.15
269,18,.25
270,44,.15
271,18,.18
272,18,.20
273,9,.20
274,48,.25
275,42,.20
276,39,.20
277,51,.20
278,27,.15
279,29,.25
280,9,.20
281,31,.18
282,27,.15
283,24,.25
284,30,.25
285,30,.18
286,18,.25
287,50,.15
288,44,.15
289,42,.18
290,32,.20
291,15,.20
292,36,.18
293,25,.20
294,48,.18
295,28,.25
296,21,.15
297,33,.25
298,9,.15
299,30,.25
300,34,.15
301,24,.20
302,36,.25
303,30,.18
304,41,.25
305,33,.25
306,18,.18
307,30,.18
308,39,.25
309,21,.15
310,38,.25
311,23,.20
312,27,.18
313,18,.25
314,34,.25
315,27,.20
316,31,.20
317,18,.25
318,30,.25
319,24,.25
320,18,.25
321,35,.15
322,18,.25
323,30,.15
324,54,.15
325,38,.18
326,50,.20
327,21,.20
328,66,.20
329,34,.20
330,44,.18
331,21,.25
332,24,.15
333,27,.15
334,33,.25
335,24,.18
336,34,.15
337,25,.15
338,17,.18
339,18,.18
340,30,.18
341,15,.25
342,39,.15
343,38,.20
344,42,.20
345,17,.18
346,18,.18
347,32,.18
348,46,.15
349,46,.20
350,26,.18
351,31,.25
352,22,.15
353,24,.25
354,21,.25
355,24,.25
356,27,.15
357,36,.18
358,38,.25
359,16,.15
360,12,.15
361,47,.25
362,37,.15
363,21,.15
364,18,.20
365,38,.25
366,12,.20
367,31,.18
368,24,.18
369,24,.18
370,24,.25
371,42,.18
372,12,.18
373,30,.15
374,12,.18
375,36,.25
376,27,.25
377,42,.20
378,18,.15
379,18,.18
380,22,.25
381,45,.25
382,32,.18
383,26,.25
384,40,.20
385,30,.15
386,31,.15
387,36,.15
388,51,.18
389,28,.20
390,25,.15
391,24,.25
392,21,.15
393,30,.15
394,16,.15
395,24,.20
396,24,.20
397,15,.25
398,6,.25
399,48,.15
400,22,.18
401,22,.25
402,8,.25
403,42,.18
404,42,.15
405,29,.20
406,32,.18
407,32,.15
408,66,.18
409,9,.15
410,36,.25
411,22,.25
412,53,.18
413,27,.18
414,41,.15
415,51,.18
416,29,.18
417,24,.15
418,24,.25
419,37,.25
420,24,.25
421,22,.15
422,54,.25
423,37,.20
424,36,.25
425,47,.25
426,30,.18
427,42,.15
428,18,.15
429,15,.18
430,12,.20
431,24,.25
432,52,.20
433,38,.20
434,9,.20
435,16,.25
436,22,.25
437,29,.18
438,44,.20
439,31,.18
440,50,.18
441,15,.15
442,31,.15
443,27,.15
444,27,.20
445,36,.25
446,33,.20
447,30,.15
448,15,.25
449,26,.20
450,18,.25
451,32,.25
452,9,.18
453,15,.15
454,44,.20
455,56,.18
456,41,.15
457,22,.18
458,42,.15
459,26,.15
460,18,.18
461,15,.25
462,12,.20
463,9,.15
464,33,.15
465,40,.20
466,24,.20
467,53,.25
468,15,.25
469,17,.18
470,25,.15
471,12,.25
472,36,.15
473,26,.20
474,29,.18
475,29,.15
476,39,.20
477,28,.18
478,21,.15
479,30,.18
480,36,.18
481,38,.25
482,28,.20
483,40,.15
484,53,.15
485,30,.20
486,12,.15
487,69,.18
488,21,.18
489,31,.18
490,22,.20
491,15,.25
492,6,.25
493,29,.18
494,34,.18
495,39,.25
496,34,.18
497,44,.20
498,40,.25
499,21,.20
500,40,.20
501,62,.18
502,36,.15
503,34,.25
504,30,.18
505,42,.15
506,36,.20
507,33,.20
508,38,.15
509,18,.20
510,24,.20
511,18,.18
512,26,.25
513,14,.20
514,24,.20
515,21,.18
516,37,.20
517,48,.18
518,9,.20
519,28,.20
520,50,.15
521,16,.18
522,50,.15
523,51,.15
524,60,.15
525,33,.25
526,36,.15
527,15,.18
528,50,.25
529,47,.20
530,9,.20
531,44,.20
532,43,.25
533,29,.20
534,62,.20
535,30,.20
536,50,.20
537,11,.18
538,25,.18
539,20,.18
540,35,.20
541,45,.20
542,11,.25
543,24,.25
544,24,.15
545,17,.20
546,21,.25
547,24,.25
548,12,.15
549,21,.15
550,30,.20
551,41,.25
552,27,.15
553,50,.15
554,39,.18
555,96,.18
556,32,.25
557,50,.25
558,32,.20
559,18,.18
560,56,.18
561,27,.18
562,41,.15
563,16,.18
564,15,.20
565,42,.25
566,33,.15
567,36,.20
568,24,.15
569,39,.20
570,36,.20
571,44,.25
572,35,.18
573,12,.20
574,56,.25
575,42,.25
576,27,.15
577,54,.15
578,48,.18
579,12,.18
580,38,.18
581,36,.20
582,29,.25
583,30,.20
584,42,.18
585,40,.15
586,27,.15
587,64,.15
588,26,.20
589,12,.25
590,50,.15
591,53,.15
592,17,.25
593,27,.18
594,40,.18
595,30,.15
596,67,.18
597,18,.25
598,26,.25
599,42,.15
600,41,.18
601,27,.20
602,42,.25
603,18,.15
604,36,.20
605,22,.15
606,42,.20
607,18,.15
608,38,.20
609,36,.15
610,18,.18
611,36,.18
612,21,.25
613,31,.15
614,33,.15
615,32,.18
616,15,.25
617,26,.18
618,18,.18
619,24,.25
620,52,.20
621,38,.20
622,24,.15
623,47,.15
624,24,.15
625,24,.20
626,22,.15
627,27,.18
628,8,.15
629,48,.20
630,23,.15
631,38,.15
632,17,.15
633,47,.15
634,40,.18
635,41,.15
636,40,.15
637,24,.18
638,24,.25
639,34,.15
640,33,.25
641,15,.18
642,42,.20
643,40,.15
644,39,.20
645,48,.20
646,22,.15
647,17,.25
648,10,.20
649,44,.18
650,62,.18
651,36,.25
652,18,.25
653,12,.18
654,21,.15
655,56,.20
656,26,.25
657,35,.15
658,62,.20
