drinker,bar
James,Clock Bar
James,The Bar at Milliways
James,The Gold Room
James,O'Malley's Bar
James,Seven Grand
James,Trick Dog
James,Weenie Hut Jr's
James,Jimmy D's
James,Burnt Toast
James,Bar of the Dogs
James,1836 Grill
James,Robert's Western World
James,Lil Phil's Grill
James,Wildhawk
James,The Pied Piper
James,Library Bar
James,Tucker's Tavern
James,Union Square Sports Bar
James,The People's Republik
James,Psycho Suzi's
James,Resolute
James,Lefty's Pub
James,Mickey's Pub
James,Last Call Bar
James,The Dexter Lake Club
James,Hard Times and Misery Saloon
James,Bus Stop
James,Mikkeller Bar
James,Leaky Faucet
James,Canela Bistro and Wine Bar
James,Salty Squid
James,Toronado
James,Winchester Tavern
James,The Boxcar
James,Meibeyer's
James,Tabard Inn
James,Whisler's
James,The Brick
James,The Green Dragon Inn
James,Bar San Pancho
James,The Pastry War
James,Pacific Cocktail Haven
James,Rickhouse
John,The Skylark Lounge
John,Hi Tops
John,Forgery Bar
John,Bar Fluxus
John,Oyster Creek Inn
John,Tonga Room
John,Playaz Club
John,Clock Bar
John,Last Call Bar
John,Charmaine's
John,The Bar
John,O'Malley's Bar
John,Marie's Crisis Cafe
John,BlackBird
John,Novela
John,Salty Squid
John,Bar of the Dogs
John,The Gem Saloon
John,The Bar at Milliways
John,Cheers
John,Resolute
John,Bada Bing!
John,Top of the Mark
John,White Cap
Robert,Cockatoo Inn
Robert,Smog Cutter
Robert,Half Step
Robert,Mickey's Pub
Robert,Full Circle Bar
Robert,Off the Hook
Robert,Library Bar
Robert,Bar 821
Robert,The Gold Room
Robert,El Tenedor
Robert,Oyster Creek Inn
Robert,The Admiral Benbow Inn
Robert,Blondie's Bar
Robert,Zam Zam
Robert,Element
Robert,Cold Drinks Bar
Robert,Coffeecake
Robert,Volpe's
Robert,The Hideout Theatre
Robert,Club Sugar Ray
Michael,The Gem Saloon
Michael,Tiki Bar
Michael,Pacific Cocktail Haven
Michael,HandleBar
Michael,The Crow & Crown
Michael,Rickhouse
Michael,Bar of the Dogs
Michael,Dino's Bar and Grill
Michael,Bob's Country Bunker
Michael,The Fainting Goat
Michael,Craft Pride
Michael,Rock Bar
Michael,Lil Phil's Grill
Michael,Local Edition
Michael,Mystic Island Casino
Michael,Murio's Trophy Room
Michael,Greely's
Michael,The Rolling Hunger
Michael,Black Horse London Pub
Michael,Hop Sing Laundromat
Michael,Half Step
Michael,Leaky Faucet
Michael,The Roosevelt Room
Michael,Forgery Bar
Michael,Ink and Paint Club
Michael,Madrone Art Bar
Michael,The Beer Hall
Michael,The Starlight Room
Michael,El Tenedor
Michael,The Skylark Lounge
Michael,Aunt Charlie's Lounge
Michael,The Bang Bang Bar
Michael,Caribbean Breeze
Mary,Cockatoo Inn
Mary,Press Club
Mary,Mos Eisley Cantina
Mary,Smuggler's Cove
Mary,The Tiny Twister
Mary,Jalapeno Brothers
Mary,Fireside Bar
Mary,The Rolling Hunger
Mary,Benjamin Cooper
Mary,Third Rail
Mary,Linden Room
Mary,The Bar at Milliways
Mary,The Jackalope
Mary,Kadie's Club Pecos
Mary,Firehouse Lounge
Mary,Steve Vo's
William,Lefty's Pub
William,Cajun Cabin
William,Harry Hope's Saloon
William,Aunt Charlie's Lounge
William,The Billy goat Tavern
William,Hot Bird
William,Jimmy D's
William,Bean Bag
William,Buddha Lounge
William,Fast Eddie's
William,Snake and Jake's Christmas Club Lounge
William,Winchester Tavern
William,Just Off Vine
William,The Double Deuce
William,Top of the Mark
William,Seven Grand
William,Cold Drinks Bar
William,Ink and Paint Club
William,Clock Bar
William,Marie's Crisis Cafe
William,Monaghan's Bar
William,Noc Noc
William,Tiki Bar
William,Kozy Kar
William,Kadie's Club Pecos
William,The Pitch and Roll
William,Kelly's Korner
