bill_ID,item,quantity
0,Nugget Nectar,1
0,Hoegaarden,4
1,Icehouse,4
1,PseudoSue,3
1,Wings,2
2,Fat Tire,4
2,Upslope Brown Ale,4
3,Hop Head Red,3
3,Guinness,3
3,Mac n Cheese,2
4,Surly Brewing Darkness,2
4,Pretzels,1
4,Fullsteam Carver,3
5,Corona,2
5,Cold Mountain Winter Ale,3
5,La Roja,4
6,Craftsman Cabernale,3
6,Nugget Nectar,1
6,Hot Dog,2
7,Bell's Two Hearted,2
7,Dogfish Head,2
8,Fries,2
8,Landshark Lager,4
9,Budweiser,2
9,Lemonade,2
9,Brooklyn Brewery Lager,2
10,Hamburger,1
10,Budweiser,4
10,Anchor Steam Beer,1
10,Coffee,1
11,Upslope Brown Ale,3
11,Uncle Jacob's Stout,2
11,Heineken,3
12,Stella Artios,1
12,Spaghetti,2
12,Grilled Cheese,1
13,Union Jack,2
13,La Roja,4
13,Hoegaarden,4
14,Heineken,2
14,Abner,1
15,Calamari,1
15,Cold Mountain Winter Ale,1
16,Coke,1
16,Miller Light,3
16,Fat Sandwich,1
16,Samuel Adams,1
17,Allagash White,1
17,Key Lime Pie,1
17,Fullsteam Carver,4
18,Focal Banger,3
18,Landshark Lager,3
19,Dos Equis,4
19,Coors,1
19,Schnickelfritz,1
20,Focal Banger,2
20,Dogfish Head,3
20,Pabst Blue Ribbon,1
20,Schnickelfritz,4
21,Fat Tire,4
21,French Dip,2
21,Goldfish,1
21,Lone Star,2
22,La Roja,4
22,Goldfish,1
22,Tsingtao,3
22,Dale's Pale Ale,3
23,Lemonade,2
23,Hot Dog,1
24,Hoegaarden,3
24,Mountain Dew,2
25,Calamari,2
25,Blind Pig IPA,3
25,Penne Vodka,1
25,Surly Brewing Darkness,1
26,Shakespeare Oatmeal Stout,2
26,La Roja,2
26,Bacon Egg and Cheese,2
27,Hop Slam,4
27,French Dip,2
27,Schnickelfritz,3
27,Bitter American,3
28,Cheesesteak,1
28,Coffee,2
28,Budweiser,3
29,Allagash White,1
29,Dogfish Head,3
29,Coors,2
30,Hop Head Red,4
30,Soup,1
31,Abner,4
31,Dale's Pale Ale,2
31,Budweiser,3
31,Mountain Dew,2
32,Calamari,2
32,Blue Moon,1
33,Red Stripe,3
33,Miller Light,2
33,Union Jack,4
34,Dos Equis,4
34,Buffalo Chicken Sandwich,1
34,Saison Rue,1
34,Anchor Steam Beer,4
35,Key Lime Pie,1
35,Schnickelfritz,1
36,Dale's Pale Ale,3
36,Hamburger,1
36,Celis White,2
37,Shakespeare Oatmeal Stout,4
37,Pabst Blue Ribbon,3
38,Buffalo Chicken Sandwich,2
38,Mac n Cheese,2
39,Soup,2
39,Bitter American,2
39,Mountain Dew,2
39,Saison Rue,4
40,Soup,2
40,Upslope Brown Ale,1
40,Hop Head Red,1
41,Mountain Dew,1
41,Hamburger,2
41,Pretzels,1
42,Celis White,2
42,Bacon Egg and Cheese,2
42,Grilled Cheese,1
42,Bell's Two Hearted,2
43,Hop Slam,3
43,Nugget Nectar,1
44,Buffalo Chicken Sandwich,1
44,Hot Dog,2
45,Coors,2
45,Craftsman Cabernale,3
46,Focal Banger,4
46,Lone Star,4
46,Craftsman Cabernale,3
47,Wings,1
47,Cheesesteak,2
48,French Dip,2
48,Union Jack,1
48,Gose,3
49,PseudoSue,3
49,Shakespeare Oatmeal Stout,1
49,Hefeweizen,2
49,Cheesecake,2
50,Pilsner,3
50,Mac n Cheese,1
51,Penne Vodka,1
51,Gose,4
51,La Roja,2
51,Mountain Dew,2
52,Penne Vodka,2
52,Fat Tire,1
52,Miller Light,2
52,Guinness,3
53,French Dip,1
53,Union Jack,4
53,Icehouse,2
54,Lone Star,1
54,Guinness,3
54,La Roja,3
55,Fullsteam Carver,1
55,Waffle,2
56,Focal Banger,4
56,Dumplings,2
56,French Dip,2
57,Gose,4
57,Guinness,1
57,Miller Light,2
58,Samuel Adams,1
58,Wings,1
58,Anchor Steam Beer,2
59,Mountain Dew,2
59,Abner,2
60,Gose,4
60,Dale's Pale Ale,4
60,Waffle,1
60,Goldfish,1
61,Surly Brewing Darkness,1
61,Miller Light,3
62,Celis White,4
62,Hop Slam,3
62,Pabst Blue Ribbon,1
62,Buffalo Chicken Sandwich,2
63,Cold Mountain Winter Ale,1
63,Uncle Jacob's Stout,2
63,Fullsteam Carver,1
64,Lone Star,1
64,Chocolate Cake,2
64,La Roja,4
65,Fancy Lawnmower,1
65,Pretzels,1
65,Union Jack,2
65,Dogfish Head,1
66,Schnickelfritz,2
66,Cheesecake,1
66,Icehouse,3
66,Anchor Steam Beer,2
67,Miller Light,3
67,Crab,2
67,Blind Pig IPA,2
67,Abner,1
68,Lemonade,1
68,Cold Mountain Winter Ale,4
68,PseudoSue,4
69,Uncle Jacob's Stout,4
69,Samuel Adams,3
69,Nachos,1
70,Fancy Lawnmower,1
70,Hop Slam,4
70,French Dip,1
71,Miller Light,3
71,Dale's Pale Ale,2
71,Nachos,1
71,Hefeweizen,1
72,Grilled Cheese,2
72,Coffee,2
73,Fancy Lawnmower,2
73,Bitter American,4
73,Dumplings,1
73,Coke,1
74,Saison Rue,4
74,Heineken,1
75,Fat Sandwich,2
75,Bell's Two Hearted,3
75,Union Jack,2
75,Cheesesteak,2
76,Landshark Lager,4
76,Blue Moon,4
76,Lone Star,4
76,Shakespeare Oatmeal Stout,2
77,Penne Vodka,2
77,Samuel Adams,4
77,Pipeworks Citra,1
78,Abner,3
78,Pretzels,2
78,Miller Light,2
79,Upslope Brown Ale,4
79,Chocolate Cake,1
79,Buffalo Chicken Sandwich,1
79,Hoegaarden,1
80,Pipeworks Citra,4
80,Bell's Two Hearted,4
81,Chocolate Cake,1
81,Hop Slam,3
81,Budweiser,1
81,Nugget Nectar,3
82,Pretzels,1
82,Cheesecake,1
82,Budweiser,3
82,Mac n Cheese,2
83,Miller Light,3
83,Focal Banger,3
83,Upslope Brown Ale,3
83,Red Stripe,3
84,Wings,1
84,Surly Brewing Darkness,3
84,Hefeweizen,4
84,Dumplings,1
85,Mac n Cheese,2
85,Vanilla Porter,4
86,Crab,1
86,Heineken,4
87,Blue Moon,2
87,Cheesecake,1
87,Schnickelfritz,4
87,Hot Dog,1
88,Pilsner,1
88,Fullsteam Carver,1
89,Spaghetti,2
89,Bell's Two Hearted,1
90,PseudoSue,2
90,Bitter American,2
90,Fat Sandwich,2
91,Icehouse,4
91,Key Lime Pie,1
91,Wings,1
92,Fat Tire,4
92,Abner,4
92,Key Lime Pie,1
92,Dogfish Head,1
93,Pipeworks Citra,4
93,Surly Brewing Darkness,1
93,Saison Rue,1
93,Lone Star,3
94,Craftsman Cabernale,3
94,Honry Devil,2
95,Allagash White,2
95,Vanilla Porter,3
95,Gose,2
96,Honry Devil,1
96,Fries,2
96,Tsingtao,4
96,Key Lime Pie,1
97,Crab,2
97,Bitter American,2
97,French Dip,1
98,Surly Brewing Darkness,2
98,Schnickelfritz,2
99,Lone Star,3
99,Tsingtao,1
99,Hot Dog,2
99,Mac n Cheese,2
100,Budweiser,2
100,Penne Vodka,2
100,Craftsman Cabernale,3
100,Wings,2
101,Hot Dog,1
101,Pretzels,2
101,Hoegaarden,2
102,La Roja,1
102,Gose,1
103,Lemonade,1
103,Saison Rue,1
103,Grilled Cheese,2
103,Red Stripe,2
104,Dale's Pale Ale,3
104,Union Jack,3
104,Hefeweizen,1
105,Pretzels,1
105,Icehouse,2
105,Lemonade,2
106,Corona,1
106,Mac n Cheese,1
106,Bitter American,3
107,Crab,2
107,Budweiser,2
108,Schnickelfritz,4
108,Bitter American,2
108,Nugget Nectar,4
109,Mountain Dew,1
109,Schnickelfritz,2
110,Cold Mountain Winter Ale,1
110,Dos Equis,3
110,Tsingtao,4
110,Cheesecake,2
111,Buffalo Chicken Sandwich,2
111,Hop Head Red,1
111,Bitter American,1
111,Abner,1
112,Dumplings,1
112,Goldfish,1
112,Anchor Steam Beer,4
112,Lobster,1
113,Craftsman Cabernale,1
113,La Roja,3
114,Bitter American,1
114,Lobster,1
114,Vanilla Porter,4
115,PseudoSue,2
115,Mountain Dew,2
115,Grilled Cheese,1
116,Brooklyn Brewery Lager,4
116,Fullsteam Carver,1
116,Fries,1
116,Dogfish Head,2
117,Penne Vodka,1
117,Icehouse,4
117,Celis White,3
118,Fat Sandwich,1
118,Honry Devil,4
118,Bacon Egg and Cheese,1
118,Gose,2
119,Coors,3
119,Key Lime Pie,1
119,Penne Vodka,1
120,Red Stripe,3
120,Spaghetti,1
120,Pancakes,1
121,Budweiser,2
121,French Dip,1
122,Nachos,2
122,Budweiser,1
122,Bacon Egg and Cheese,1
123,Soup,1
123,Landshark Lager,1
123,Fries,2
124,Lone Star,3
124,Brooklyn Brewery Lager,4
124,Coffee,1
124,Blind Pig IPA,3
125,Crab,2
125,Fat Tire,3
125,Pilsner,3
125,Vanilla Porter,2
126,Budweiser,3
126,Gose,2
126,Goldfish,1
127,Dale's Pale Ale,1
127,Samuel Adams,4
127,Coffee,1
128,Hoegaarden,1
128,Saison Rue,1
128,Tsingtao,2
128,Key Lime Pie,1
129,Samuel Adams,4
129,French Dip,2
129,Blue Moon,2
130,Saison Rue,1
130,Pancakes,2
131,Stella Artios,2
131,Pipeworks Citra,4
131,Dogfish Head,2
131,Hefeweizen,2
132,Pretzels,1
132,Anchor Steam Beer,1
133,PseudoSue,2
133,Red Stripe,4
134,Uncle Jacob's Stout,4
134,Dumplings,2
134,Spaghetti,1
134,Blue Moon,1
135,French Dip,1
135,Icehouse,4
135,Budweiser,1
135,Hoegaarden,2
136,Fat Tire,3
136,Crab,1
136,Celis White,2
137,Mac n Cheese,1
137,Cheesecake,1
137,Bell's Two Hearted,1
137,Guinness,3
138,Pancakes,1
138,Vanilla Porter,3
138,Coke,1
139,Pancakes,2
139,Saison Rue,4
139,Goldfish,1
140,Honry Devil,2
140,Blue Moon,4
140,Fullsteam Carver,3
141,Grilled Cheese,2
141,Pabst Blue Ribbon,1
142,Upslope Brown Ale,2
142,Dumplings,2
143,Honry Devil,1
143,Pilsner,4
144,Focal Banger,1
144,Abner,3
144,Spaghetti,2
145,French Dip,1
145,Bacon Egg and Cheese,1
145,Craftsman Cabernale,2
145,Crab,2
146,French Dip,2
146,Hefeweizen,3
146,Uncle Jacob's Stout,1
146,Tsingtao,4
147,Celis White,1
147,Bitter American,1
147,Icehouse,2
147,Hefeweizen,1
148,Bell's Two Hearted,4
148,PseudoSue,1
148,French Dip,2
149,Icehouse,3
149,Hefeweizen,2
149,Cheesecake,2
150,Nachos,1
150,Fullsteam Carver,2
150,Pancakes,2
151,Nugget Nectar,4
151,Lone Star,4
151,Honry Devil,3
152,Nugget Nectar,1
152,Honry Devil,4
152,Guinness,4
152,Hoegaarden,1
153,La Roja,3
153,Anchor Steam Beer,4
154,Stella Artios,2
154,Lone Star,3
154,Hoegaarden,4
155,Brooklyn Brewery Lager,4
155,La Roja,3
156,Soup,2
156,Heineken,4
156,Waffle,1
157,Fancy Lawnmower,2
157,Stella Artios,1
158,Schnickelfritz,1
158,Lemonade,1
159,Pancakes,1
159,Hop Slam,4
159,Penne Vodka,1
159,Pabst Blue Ribbon,4
160,Surly Brewing Darkness,1
160,Allagash White,3
161,Cheesesteak,1
161,Mountain Dew,1
161,PseudoSue,2
161,Gose,3
162,Abner,3
162,Waffle,1
162,Hop Slam,3
162,Coffee,2
163,Bitter American,1
163,French Dip,1
163,Fancy Lawnmower,4
163,Corona,1
164,Goldfish,2
164,Fries,1
165,Hop Slam,2
165,Bitter American,4
165,Budweiser,3
165,Corona,1
166,Coke,2
166,Spaghetti,1
166,Blue Moon,2
167,Lemonade,1
167,Nugget Nectar,1
167,Dumplings,1
167,Miller Light,2
168,Cheesesteak,2
168,Fancy Lawnmower,4
168,Blue Moon,4
