bill_ID,bar,time,day
0,Benjamin Cooper,14:22,Thursday
1,Robert's Western World,15:26,Monday
2,Mystic Island Casino,23:49,Monday
3,Cold Drinks Bar,11:33,Sunday
4,The Bar,18:12,Wednesday
5,Buddha Lounge,23:04,Sunday
6,Otto's Shrunken Head,11:56,Friday
7,Ray's Happy Birthday Bar,11:58,Thursday
8,The Gold Room,18:09,Monday
9,Greely's,17:35,Thursday
10,The Pastry War,19:04,Thursday
11,Knomad Bar,14:11,Saturday
12,Hi Tops,18:29,Sunday
13,Cajun Cabin,00:13,Thursday
14,95 Slide,12:25,Thursday
15,Jimmy D's,22:55,Sunday
16,The Chapel,12:55,Tuesday
17,White Cap,00:23,Friday
18,The Sea Star,01:36,Wednesday
19,Brass Tracks,11:09,Monday
20,Psycho Suzi's,22:04,Sunday
21,Smuggler's Cove,10:53,Sunday
22,Bond Bar,16:59,Tuesday
23,Jumbo's Clown Room,00:43,Sunday
24,Bar Fluxus,11:08,Sunday
25,The Hideout Theatre,22:08,Tuesday
26,Kelly's Korner,14:17,Saturday
27,Inky Stink,14:40,Saturday
28,Jalapeno Brothers,01:06,Thursday
29,Dalva,18:32,Tuesday
30,Press Club,22:42,Wednesday
31,Burgers Ya Heard,23:35,Friday
32,1836 Grill,20:28,Wednesday
33,Novela,11:10,Tuesday
34,Kozy Kar,19:12,Thursday
35,The Jackalope,02:40,Sunday
36,Holy Water,17:43,Thursday
37,Charmaine's,15:51,Monday
38,Press Club,13:31,Friday
39,Tiki Bar,13:58,Wednesday
40,Fast Eddie's,17:51,Tuesday
41,Bob's Country Bunker,20:40,Friday
42,Tempest,16:34,Thursday
43,The Pool Hall,17:24,Monday
44,The Hideout Theatre,14:15,Friday
45,Burgers Ya Heard,10:58,Thursday
46,Leaky Faucet,17:31,Sunday
47,The Jackalope,14:08,Saturday
48,Rick's Cafe Americanain,02:06,Saturday
49,15 Romolo,11:26,Wednesday
50,Weenie Hut Jr's,11:57,Tuesday
51,Half Step,17:13,Friday
52,Whisler's,17:59,Tuesday
53,The People's Republik,20:32,Monday
54,Local Edition,12:09,Tuesday
55,Jumbo's Clown Room,13:25,Tuesday
56,Local Edition,01:44,Thursday
57,Full Circle Bar,21:32,Monday
58,Victory,23:24,Friday
59,The Bar at Milliways,23:40,Tuesday
60,The Fainting Goat,12:32,Thursday
61,Lefty's Pub,02:01,Friday
62,The Dexter Lake Club,16:36,Friday
63,Blondie's Bar,10:53,Friday
64,Full Circle Bar,01:41,Sunday
65,Hot Bird,20:45,Tuesday
66,Dive Bar and Lounge,20:08,Thursday
67,Aunt Charlie's Lounge,22:47,Saturday
68,Oyster Creek Inn,23:00,Tuesday
69,Cityscape,14:58,Thursday
70,Seven Grand,13:33,Tuesday
71,Inky Stink,02:48,Saturday
72,The Hog's Head Inn,01:41,Sunday
73,Hard Times and Misery Saloon,15:26,Saturday
74,The Gem Saloon,01:15,Wednesday
75,Smog Cutter,15:14,Friday
76,Corner Tavern,11:26,Wednesday
77,Cold Drinks Bar,00:51,Monday
78,Jimmy D's,15:49,Wednesday
79,The Bang Bang Bar,01:06,Wednesday
80,Library Bar,11:24,Friday
81,Chatsubo,23:06,Saturday
82,Ink and Paint Club,14:07,Sunday
83,Dive Bar and Lounge,19:17,Wednesday
84,Fast Eddie's,17:41,Monday
85,Tin 'n' Lint,18:15,Sunday
86,Dive Bar and Lounge,22:31,Saturday
87,Rusted Furnace,22:22,Saturday
88,The Moon Under Water,10:08,Sunday
89,Aunt Charlie's Lounge,01:47,Monday
90,Bernie's Burger Bus,16:25,Tuesday
91,The Boxcar,12:15,Monday
92,Levy's,15:19,Tuesday
93,Ink and Paint Club,01:41,Monday
94,Playaz Club,15:48,Saturday
95,Craft Pride,01:31,Monday
96,Cold Drinks Bar,21:58,Tuesday
97,Steve Vo's,16:59,Sunday
98,The Admiral Benbow Inn,21:40,Thursday
99,Snake and Jake's Christmas Club Lounge,12:53,Wednesday
100,The Crazy Horse,20:16,Monday
101,Hard Times and Misery Saloon,21:43,Wednesday
102,The Page,19:30,Wednesday
103,Leaky Faucet,12:35,Sunday
104,The Hog's Head Inn,01:08,Monday
105,The Jack Saloon,13:25,Friday
106,Mickey's Pub,02:39,Saturday
107,The Dexter Lake Club,22:25,Tuesday
108,Weenie Hut Jr's,02:56,Sunday
109,The Crazy Horse,12:32,Thursday
110,Jumbo's Clown Room,17:38,Friday
111,The Roosevelt Room,02:47,Sunday
112,Clock Bar,23:41,Friday
113,Bar Fluxus,18:00,Thursday
114,Gaston's,01:55,Friday
115,1836 Grill,21:45,Thursday
116,Volpe's,12:15,Thursday
117,Hard Times and Misery Saloon,19:51,Tuesday
118,Hard Times and Misery Saloon,14:31,Saturday
119,Kadie's Club Pecos,10:07,Thursday
120,The Boxcar,00:06,Monday
121,Canela Bistro and Wine Bar,21:54,Friday
122,The Tipsy Cow,22:45,Monday
123,Jalapeno Brothers,13:31,Saturday
124,Bob's Country Bunker,15:46,Wednesday
125,Gaston's,11:12,Monday
126,Dive Bar and Lounge,20:34,Monday
127,Hazel Southern Bar,15:47,Saturday
128,Maccadam's Old Oil House,18:27,Thursday
129,The Page,02:35,Wednesday
130,Dalva,18:44,Wednesday
131,The Jack Saloon,16:27,Sunday
132,O'Malley's Bar,20:44,Saturday
133,The Jack Saloon,00:58,Monday
134,1836 Grill,17:57,Saturday
135,Greely's,17:24,Monday
136,Bean Bag,19:10,Tuesday
137,Whitechapel,15:40,Tuesday
138,The Billy goat Tavern,14:20,Saturday
139,Maccadam's Old Oil House,02:19,Sunday
140,Harry Hope's Saloon,20:00,Wednesday
141,Blondie's Bar,16:39,Sunday
142,The Double Deuce,02:29,Saturday
143,The Bar,22:50,Monday
144,Levy's,15:44,Tuesday
145,The Surly Wench Pub,13:40,Saturday
146,Inky Stink,11:03,Wednesday
147,Oyster Creek Inn,15:11,Wednesday
148,Robert's Western World,16:56,Monday
149,The Crow & Crown,14:31,Thursday
150,Oyster Creek Inn,11:19,Saturday
151,The Alembic,17:12,Saturday
152,Bada Bing!,11:54,Sunday
153,The Pastry War,01:14,Saturday
154,Kadie's Club Pecos,23:51,Tuesday
155,Dino's Bar and Grill,00:29,Sunday
156,Hot Bird,13:19,Friday
157,Marie's Crisis Cafe,13:54,Monday
158,Off the Hook,11:25,Monday
159,The Dexter Lake Club,23:31,Thursday
160,The Billy goat Tavern,22:17,Thursday
161,Paddy's Pub,21:33,Tuesday
162,Moe's Tavern,19:08,Thursday
163,Steve Vo's,11:29,Sunday
164,Monaghan's Bar,00:46,Friday
165,Seven Grand,12:10,Sunday
166,Tucker's Tavern,20:09,Sunday
167,The Hideout Theatre,15:39,Monday
168,The Chapel,16:27,Thursday
169,Kadie's Club Pecos,12:35,Thursday
170,Cityscape,12:30,Friday
171,Last Call Bar,16:44,Monday
172,Forgery Bar,16:05,Sunday
173,Harry Hope's Saloon,02:59,Monday
174,Noc Noc,15:00,Monday
175,The Bar at Milliways,17:20,Friday
176,The Fainting Goat,11:49,Saturday
177,Pacific Cocktail Haven,16:58,Tuesday
178,El Tenedor,13:04,Tuesday
179,Burgers Ya Heard,02:45,Friday
180,The Green Dragon Inn,14:48,Wednesday
181,The Chapel,14:20,Sunday
182,The Beer Hall,23:11,Monday
183,Cheers,14:27,Friday
184,Cajun Cabin,10:20,Friday
185,95 Slide,17:45,Thursday
186,The Fainting Goat,14:50,Friday
187,Psycho Suzi's,19:28,Thursday
188,Lee Harvey's,18:19,Saturday
189,Winchester Tavern,16:17,Monday
190,Cold Drinks Bar,10:49,Saturday
191,Hot Bird,18:44,Monday
192,Psycho Suzi's,15:55,Tuesday
193,The Hideout Theatre,20:23,Monday
194,The Pied Piper,01:33,Saturday
195,The Pitch and Roll,15:09,Monday
196,Bob's Country Bunker,12:21,Sunday
197,Greely's,14:51,Thursday
198,Wilma's,20:42,Friday
