bill_ID,item,quantity
0,Saison Rue,2
0,Craftsman Cabernale,3
0,La Roja,3
1,Cheesecake,2
1,Fat Sandwich,1
1,Tsingtao,1
2,Coors,3
2,Upslope Brown Ale,4
3,Hamburger,1
3,Icehouse,4
4,Bitter American,2
5,Coke,1
5,French Dip,1
6,Coke,1
6,Focal Banger,1
7,Tsingtao,1
7,Calamari,2
8,Wings,1
8,Fat Tire,3
9,Crab,2
9,Upslope Brown Ale,4
10,Dogfish Head,4
10,Waffle,2
10,Surly Brewing Darkness,3
11,La Roja,2
11,Brooklyn Brewery Lager,1
12,Spaghetti,2
13,Hefeweizen,2
14,Soup,2
15,Vanilla Porter,3
16,Calamari,2
16,Frie,1
17,Hefeweizen,2
18,Frie,2
19,Cheesesteak,1
19,Dogfish Head,2
19,Grilled Cheese,2
20,Budweiser,1
20,Icehouse,4
21,Coors,1
22,Crab,1
22,Nugget Nectar,3
22,Hoegaarden,2
23,Blind Pig IPA,3
23,Icehouse,4
23,Mac n Cheese,2
24,Cheesecake,2
24,Hoegaarden,3
24,Hoegaarden,2
25,Pilsner,3
25,Key Lime Pie,1
25,Fat Tire,3
26,Craftsman Cabernale,1
26,Coke,2
26,Penne Vodka,2
27,Mountain Dew,1
27,Coke,1
27,Dumplings,1
28,Spaghetti,1
28,Cold Mountain Winter Ale,3
28,Crab,1
29,Surly Brewing Darkness,3
30,Hop Head Red,1
31,Waffle,2
31,Nachos,2
31,Upslope Brown Ale,1
32,Uncle Jacob's Stout,3
33,Allagash White,3
34,Cheesecake,1
34,Buffalo Chicken Sandwich,2
34,Fullsteam Carver,3
35,Chocolate Cake,1
35,Schnickelfritz,3
35,Penne Vodka,1
36,Hefeweizen,4
36,Anchor Steam Beer,2
36,French Dip,2
37,Hamburger,1
38,Penne Vodka,1
38,Nugget Nectar,3
39,Shakespeare Oatmeal Stout,4
40,Chocolate Cake,1
40,Wings,1
41,Samuel Adams,3
42,Hop Slam,2
42,Schnickelfritz,4
42,Uncle Jacob's Stout,4
43,Goldfish,2
44,Uncle Jacob's Stout,4
44,Heineken,3
45,Brooklyn Brewery Lager,2
45,La Roja,4
46,Icehouse,1
46,Frie,2
47,Frie,1
48,PseudoSue,3
48,Coffee,2
49,Goldfish,2
50,Fat Sandwich,2
50,Pretzels,2
50,Craftsman Cabernale,1
51,Dale's Pale Ale,4
51,Dale's Pale Ale,4
52,Soup,2
52,Icehouse,4
52,Cheesecake,1
53,Heineken,1
53,Frie,1
54,Icehouse,3
55,Cheesecake,2
55,Dumplings,1
56,Icehouse,3
57,Fat Tire,2
58,Fullsteam Carver,1
58,Calamari,1
58,Celis White,1
59,PseudoSue,3
60,Samuel Adams,2
60,Landshark Lager,1
61,Stella Artios,2
61,Dogfish Head,4
61,Allagash White,3
62,Waffle,1
62,Uncle Jacob's Stout,2
63,Guinness,3
63,Wings,2
63,Red Stripe,4
64,Abner,3
65,Hot Dog,2
65,Dumplings,1
65,Saison Rue,3
66,Focal Banger,1
67,Hot Dog,1
67,Gose,2
68,Dumplings,1
68,Budweiser,3
69,Lemonade,2
69,Hot Dog,1
69,Key Lime Pie,2
70,Shakespeare Oatmeal Stout,3
70,Waffle,1
70,Landshark Lager,3
71,Lobster,2
71,Mountain Dew,1
72,Grilled Cheese,1
72,Blind Pig IPA,3
73,Fullsteam Carver,2
73,Hot Dog,2
73,Anchor Steam Beer,2
74,Dogfish Head,4
75,Pancakes,1
75,Abner,2
75,Shakespeare Oatmeal Stout,3
76,Cold Mountain Winter Ale,4
77,Coke,1
78,Crab,2
79,Dumplings,2
79,Shakespeare Oatmeal Stout,1
80,Dale's Pale Ale,2
80,Landshark Lager,1
80,Cold Mountain Winter Ale,1
81,Abner,4
81,Grilled Cheese,1
81,Soup,1
82,Fullsteam Carver,4
82,Penne Vodka,2
83,Stella Artios,2
83,Key Lime Pie,1
84,Coke,1
84,Cheesesteak,1
85,Red Stripe,4
85,Chocolate Cake,2
86,Upslope Brown Ale,4
86,Grilled Cheese,1
87,Cheesecake,2
87,Samuel Adams,3
87,Dos Equis,2
88,Corona,2
88,Chocolate Cake,2
89,Hop Slam,3
89,Bell's Two Hearted,1
89,Cheesecake,2
90,French Dip,2
91,Cheesecake,1
92,Frie,1
93,French Dip,2
94,PseudoSue,1
94,Hot Dog,1
94,Lone Star,2
95,Mountain Dew,2
95,Bacon Egg and Cheese,2
95,Guinness,3
96,Mountain Dew,1
96,Fat Sandwich,1
96,Hop Slam,1
97,Soup,2
98,Pancakes,2
99,Bell's Two Hearted,1
99,Dos Equis,4
99,Penne Vodka,2
100,Soup,2
101,Pretzels,1
101,Anchor Steam Beer,1
102,Coors,4
103,Saison Rue,4
104,Nugget Nectar,2
104,PseudoSue,1
104,Mac n Cheese,2
105,Gose,4
105,Soup,2
106,Fancy Lawnmower,3
107,Fat Sandwich,2
107,Heineken,2
107,Dogfish Head,1
108,Crab,2
109,Calamari,1
109,Miller Light,1
110,Fat Sandwich,2
111,Key Lime Pie,2
111,Pancakes,2
112,Fancy Lawnmower,4
112,Mac n Cheese,2
112,Focal Banger,1
113,Fancy Lawnmower,1
114,French Dip,2
114,Lemonade,1
114,Dale's Pale Ale,1
115,Dumplings,1
116,Hoegaarden,4
116,Bell's Two Hearted,4
116,Grilled Cheese,1
117,Coffee,1
117,Coffee,1
118,Pabst Blue Ribbon,3
119,Hefeweizen,3
120,Nugget Nectar,4
120,Key Lime Pie,1
120,Celis White,2
121,Calamari,1
122,Craftsman Cabernale,3
122,Hamburger,1
123,Abner,3
123,Bacon Egg and Cheese,2
123,Stella Artios,1
124,French Dip,2
124,Hamburger,2
124,Dumplings,2
125,Hop Slam,1
125,Brooklyn Brewery Lager,4
126,Coors,3
127,Upslope Brown Ale,3
127,Dale's Pale Ale,2
127,Pancakes,2
128,Schnickelfritz,3
129,Guinness,4
129,Brooklyn Brewery Lager,3
129,Mountain Dew,2
130,Saison Rue,3
131,Fancy Lawnmower,4
131,Cold Mountain Winter Ale,4
132,Dumplings,1
132,Chocolate Cake,2
133,Cheesesteak,2
133,Chocolate Cake,2
134,Chocolate Cake,1
134,Lobster,1
135,Tsingtao,1
135,Corona,2
135,Bitter American,4
136,Pretzels,1
137,Grilled Cheese,2
137,Fancy Lawnmower,2
137,Miller Light,2
138,Dumplings,2
138,Stella Artios,3
139,Waffle,2
139,Vanilla Porter,3
140,Mac n Cheese,1
