bar,item,price
Atomic Liquors,Cold Mountain Winter Ale,4
Atomic Liquors,Hefeweizen,8
Atomic Liquors,Bitter American,7
Atomic Liquors,Shakespeare Oatmeal Stout,6
Atomic Liquors,Brooklyn Brewery Lager,3
Atomic Liquors,Abner,5
Atomic Liquors,Miller Light,8
Atomic Liquors,Tsingtao,8
Atomic Liquors,Blue Moon,6
Atomic Liquors,Craftsman Cabernale,5
Atomic Liquors,Schnickelfritz,5
Atomic Liquors,Hefeweizen,3
Atomic Liquors,Landshark Lager,7
Atomic Liquors,Fullsteam Carver,3
Atomic Liquors,Blue Moon,5
Atomic Liquors,PseudoSue,7
Atomic Liquors,Coors,7
Atomic Liquors,Saison Rue,4
Atomic Liquors,Pipeworks Citra,3
Atomic Liquors,Fat Tire,5
Atomic Liquors,Blind Pig IPA,7
Atomic Liquors,Dogfish Head,8
Atomic Liquors,Stella Artios,6
Atomic Liquors,Fancy Lawnmower,8
Atomic Liquors,Dale's Pale Ale,8
Atomic Liquors,Pilsner,4
Atomic Liquors,Mountain Dew,7
Atomic Liquors,Pancakes,8
Atomic Liquors,Calamari,10
Atomic Liquors,Mac n Cheese,8
Atomic Liquors,Pancakes,10
Atomic Liquors,Key Lime Pie,10
Atomic Liquors,Lobster,7
Ray's Happy Birthday Bar,Stella Artios,8
Ray's Happy Birthday Bar,Guinness,8
Ray's Happy Birthday Bar,Blue Moon,7
Ray's Happy Birthday Bar,Schnickelfritz,4
Ray's Happy Birthday Bar,Upslope Brown Ale,8
Ray's Happy Birthday Bar,Landshark Lager,8
Ray's Happy Birthday Bar,Stella Artios,8
Ray's Happy Birthday Bar,Celis White,5
Ray's Happy Birthday Bar,Budweiser,8
Ray's Happy Birthday Bar,Coors,4
Ray's Happy Birthday Bar,Dos Equis,3
Ray's Happy Birthday Bar,Pabst Blue Ribbon,5
Ray's Happy Birthday Bar,Pipeworks Citra,3
Ray's Happy Birthday Bar,Heineken,7
Ray's Happy Birthday Bar,Bitter American,4
Ray's Happy Birthday Bar,Lone Star,3
Ray's Happy Birthday Bar,Uncle Jacob's Stout,4
Ray's Happy Birthday Bar,Focal Banger,4
Ray's Happy Birthday Bar,PseudoSue,5
Ray's Happy Birthday Bar,Lone Star,8
Ray's Happy Birthday Bar,Pilsner,5
Ray's Happy Birthday Bar,Bitter American,5
